20086135,H989060
20086367,H988863
20078177,H989171
20078095,H988890
20086443,H988994
20086252,H989069
20086251,H989040
20086420,H988838
20086377,H989136
20086326,H989048
20086353,H989131
20086245,H989053
20086433,H988989
20086354,H989101
20078131,H988893
20078179,H988645
20086373,H988882
20086404,H989100
20086414,H989021
20078136,H988996
20086263,H989052
20086422,H989130
20086119,H989038
20086412,H988907
20078175,null
20086431,H988927
20086437,H988948
20086137,H989073
20086446,H989001
20086401,H989089
20086442,H989161
20086120,H989041
20086140,H989054
20015986,null
20086419,H989126
20078128,H988986
20086365,H988712
20078163,H988965
20086134,H989059
20086155,H989084
20078168,H989194
20078130,H988630
20086410,H988812
20086374,H988900
20086375,H988899
20078194,H988937
20086423,H989133
20078184,H988950
20078134,H988997
20078188,H988991
20078157,H988955
20086369,H988879
20078147,H988980
20086432,H988610
20078189,null
20086159,H989078
20086248,H989068
20078151,H988968
20086378,H989205
20078162,H989176
20086400,H989120
20086267,H989061
20086115,H989034
20078165,H989004
20078156,H989000
20078123,H988947
20078161,H988967
20086265,H989042
20086117,H989063
20078105,H988935
20086156,H989085
20086270,H989029
20078173,H989005
20078191,H988943
20078154,H989177
20078180,H988964
20086357,H988809
20086383,H988803
20086133,H989030
20078097,H988983
20086332,H989045
20078150,H988966
20078158,H988650
20078115,H988960
20086402,H989092
20086161,H989076
20078143,H988972
20086441,H989159
20086405,H989102
20078149,H989018
20086160,H989079
20086447,H989015
20086451,H989169
20078159,H988971
20086328,H989044
20086403,H989097
20086364,H989017
20078153,H988607
20078187,H988987
20086359,H989114
20078160,H989002
20086452,H988957
20078195,H970057
20078182,H988998
20086424,H989113
20086389,H989091
20086395,H989121
20078127,H988573
20078139,null
20078118,H988973
20078186,H989014
20086413,H989140
20086429,H989148
20086411,H989137
20078144,H988600
20086397,H989112
20086370,H988912
20086114,H989050
20086396,H989119
20086356,H989016
20086158,H989077
20086266,H989039
20086426,H989132
20086244,H989083
20086368,H988864
20078183,null
20086327,H989033
20086409,H989129
20086142,H989025
20086393,H989096
20086331,H989051
20078169,H988951
20086264,H989057
20086445,H988978
20078110,H988684
20078166,H989003
20078176,H988652
20086444,H988974
20086380,H989124
20078137,null
20086355,H989010
20086430,H989139
20086382,H989012
20086449,H989011
20086399,H989117
20086438,H989153
20086268,H989067
20086360,H989013
20086408,H989108
20086247,H989071
20086329,H989065
20078190,H988649
20086138,H989072
20086425,H989134
20078152,H988953
20086361,H988761
20078120,H988977
20078167,H988571
20078138,H988963
20078172,null
20078109,H989173
20086139,H989026
20078178,H989006
20078142,H988999
20086428,H989145
20078121,H988670
20086394,H989024
20078155,null
20078094,H989179
20086157,H989074
20078185,H988945
20078146,H988892
20086113,H989031
20086153,H989027
20078119,H988969
20086440,H989157
20110944,null
20086271,H989037
20086450,H989020
20086379,null
20078132,H988915
20086376,H988979
20078164,H988588
20078140,H988575
20078148,H988938
20086154,H989081
20078107,H988988
20086362,H989146
20078111,H988995
20086363,H988798
20086391,H989095
20078181,H988644
20078114,H988981
20086243,H989056
20086116,H989036
20078133,H989178
20078141,H988990
20086371,H988719
20086249,H989028
20086392,H989023
20086272,H989035
20086427,H989135
20086122,H989047
20086269,H989070
20086416,H988823
20086386,H988878
20078124,H988891
20078098,H988916
20086439,H989156
20086390,H989094
20086387,H989141
20086118,H989043
20086324,H989075
20078112,H988628
20078129,H988985
20086246,H989064
20078126,H988941
20086141,H989055
20086250,H989066
20078192,H988926
20078099,H989196
20078103,H988626
20078101,H988918
20078174,H988970
20086325,H989049
20078104,H988948
20086330,H989062
20078193,H988668
20078196,H375000
20086436,H988936
20078113,H988952
20078171,H988934
20078106,H988958
20078122,H989163
20086448,H989007
20078100,H988925
20086407,H989105
20086381,H989138
20086323,H989032
20078102,H988625
20086121,H989046
20086415,H988906
20086136,H989058
20078108,H988959
20078170,H988939
20086162,H989080
20078125,H989168
20086366,H988910
20086398,H989109
20078116,H988946
20086417,H988824
20086372,H988723
20078145,H988961
20086418,H988808
20086384,H988886
20078135,H988578
20078096,H988942
20086421,H989127
20086435,H989190
20086358,H988802
20086406,H989104
20078117,H988984
